City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Prainha,BR,84.58,overcast clouds,-1.8,-53.48,Casa Rocha
517,Teknaf,BD,81.73,overcast clouds,20.8624,92.3058,Forestry Guesthouse
518,Dustlik,UZ,81.7,scattered clouds,40.5247,68.0358,
520,Chandrakona,IN,84.09,overcast clouds,22.7333,87.5167,Roy Mansion 3
521,Lethem,GY,78.22,overcast clouds,3.3803,-59.7968,Savannah Inn
527,Pabna,BD,81.73,moderate rain,24.0,89.25,Hotel Dream Palace International
528,Pitimbu,BR,84.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
530,Kokopo,PG,76.59,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
531,Cururupu,BR,85.03,few clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
532,Dong Hoi,VN,83.28,overcast clouds,17.4833,106.6,Nam Long Hotel
535,Cayenne,GF,83.08,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
536,Lazaro Cardenas,MX,88.66,broken clouds,17.9583,-102.2,Hotel Quinta Antigua
537,Kouroussa,GN,81.52,light rain,10.65,-9.8833,Hotel Paillote
538,Canavieiras,BR,80.28,scattered clouds,-15.675,-38.9472,Bahiadomizil
544,Diego De Almagro,CL,79.0,clear sky,-26.3667,-70.05,hotel luna del desierto
548,Iralaya,HN,89.69,broken clouds,15.0,-83.2333,Iglesia morava renovada
551,Kalmunai,LK,82.6,broken clouds,7.4167,81.8167,VS Villa
552,Lagos,NG,82.72,light rain,6.5833,3.75,
558,Vila Velha,BR,85.96,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
559,Plaridel,PH,84.2,few clouds,14.8872,120.8572,St. Agatha Resort
561,Languyan,PH,80.82,overcast clouds,5.2618,120.0807,
571,Clovis,US,82.0,few clouds,36.8252,-119.7029,"Homewood Suites by Hilton Fresno Airport/Clovis, CA"
582,Monte Azul,BR,89.65,few clouds,-15.155,-42.8747,Hotel Delfino
583,Phon,TH,83.97,scattered clouds,15.815999999999999,102.5998,Baan Kru Tum Chiang Khan
589,Harij,IN,86.34,scattered clouds,23.7,71.9,"SHIV SHAKTI SOCIETY, Harij,Gujarat 384240"
591,Padang,ID,75.69,overcast clouds,-0.9492,100.3543,Mercure Padang
592,Oistins,BB,80.69,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
596,Dickinson,US,84.2,broken clouds,29.4608,-95.0513,Hampton Inn & Suites Houston/League City
597,Ixtapa,MX,83.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
601,La Libertad,EC,75.2,broken clouds,-2.2333,-80.9,Playa Canela Hotel Boutique
603,Kieta,PG,77.76,light rain,-6.2167,155.6333,Uruna Bay Retreat
606,San Andres,CO,87.8,few clouds,12.5847,-81.7006,Hotel Arena Blanca
607,Cravo Norte,CO,86.38,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
609,Obo,CF,76.68,clear sky,5.3998,26.4869,
611,Sola,VU,78.8,overcast clouds,-13.8833,167.55,Leumerus Bungalows
614,Caravelas,BR,79.92,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
615,Cascais,PT,78.66,few clouds,38.6979,-9.4215,Hotel Vila Galé Cascais
619,Mersing,MY,77.0,scattered clouds,2.4312,103.8405,Timotel Hotel
622,South Venice,US,87.01,haze,27.0531,-82.4243,Rodeway Inn
623,Nicolas Bravo,MX,89.96,broken clouds,18.45,-88.9167,
624,Baghdad,IQ,87.8,clear sky,33.3406,44.4009,Baghdad Hotel
625,Tiarei,PF,80.62,light rain,-17.5333,-149.3333,Le Rocher de Tahiti
628,Wahiawa,US,75.87,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
631,Aquiraz,BR,86.09,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
632,Abu Zabad,SD,89.35,few clouds,12.35,29.25,حامد محمد نور
635,Matara,LK,79.52,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
636,Port-Gentil,GA,80.56,scattered clouds,-0.7193,8.7815,Fengshui Residence
642,Saquena,PE,87.17,scattered clouds,-4.6667,-73.5167,
645,Manoel Urbano,BR,83.79,overcast clouds,-8.8389,-69.2597,Baixada Beira Rio
650,Ahmadpur,IN,87.49,broken clouds,18.7,76.9333,Hengane (Pitashri Niwas)
651,Albert Town,JM,75.7,scattered clouds,18.2943,-77.5424,Meridian guest house
654,Auki,SB,75.88,few clouds,-8.7676,160.7034,Auki Motel
655,Uruzgan,AF,75.47,clear sky,32.8333,66.0,
658,Yanam,IN,85.26,clear sky,16.7333,82.2167,The Regency Hotel
664,Gumdag,TM,88.0,clear sky,39.2061,54.5906,
666,Inirida,CO,78.33,overcast clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
